mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_MLP__activation,param_MLP__alpha,param_MLP__hidden_layer_sizes,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.020454216003417968,0.0010222689338685203,0.0008024692535400391,0.0002453401738656649,logistic,0.1,"(5, 5)","{'MLP__activation': 'logistic', 'MLP__alpha': 0.1, 'MLP__hidden_layer_sizes': (5, 5)}",0.5,0.5000000000000001,0.49999999999999994,0.49999999999999983,0.49999999999999994,0.5,9.612475824377517e-17,104,0.49999999999999983,0.5,0.5,0.5,0.5,0.5,7.447602459741819e-17
0.028476381301879884,0.00037649724355857765,0.0010020732879638672,0.00031711230562336286,logistic,0.1,"(22, 22)","{'MLP__activation': 'logistic', 'MLP__alpha': 0.1, 'MLP__hidden_layer_sizes': (22, 22)}",0.5,0.5000000000000001,0.49999999999999994,0.49999999999999983,0.49999999999999994,0.5,9.612475824377517e-17,104,0.49999999999999983,0.5,0.5,0.5,0.5,0.5,7.447602459741819e-17
0.03489184379577637,0.0008744419171780604,0.0008020401000976562,0.00024547635258425195,logistic,0.1,"(11, 11, 11)","{'MLP__activation': 'logistic', 'MLP__alpha': 0.1, 'MLP__hidden_layer_sizes': (11, 11, 11)}",0.5,0.5000000000000001,0.49999999999999994,0.49999999999999983,0.49999999999999994,0.5,9.612475824377517e-17,104,0.49999999999999983,0.5,0.5,0.5,0.5,0.5,7.447602459741819e-17
0.02466559410095215,0.00020039100720715836,0.0006017208099365235,0.00020017652298033456,logistic,0.1,"(5, 5, 5)","{'MLP__activation': 'logistic', 'MLP__alpha': 0.1, 'MLP__hidden_layer_sizes': (5, 5, 5)}",0.5,0.5000000000000001,0.49999999999999994,0.49999999999999983,0.49999999999999994,0.5,9.612475824377517e-17,104,0.49999999999999983,0.5,0.5,0.5,0.5,0.5,7.447602459741819e-17
0.03639664649963379,0.0011691684779515862,0.0010028839111328124,3.568322550558034e-07,logistic,0.1,"(22, 22, 22)","{'MLP__activation': 'logistic', 'MLP__alpha': 0.1, 'MLP__hidden_layer_sizes': (22, 22, 22)}",0.5,0.5000000000000001,0.49999999999999994,0.49999999999999983,0.49999999999999994,0.5,9.612475824377517e-17,104,0.49999999999999983,0.5,0.5,0.5,0.5,0.5,7.447602459741819e-17
0.052539491653442384,0.005559475474782554,0.0007020473480224609,0.00024565151898962216,logistic,0.03162277660168379,"(11,)","{'MLP__activation': 'logistic', 'MLP__alpha': 0.03162277660168379, 'MLP__hidden_layer_sizes': (11,)}",0.5386155535041541,0.63261594990814,0.5306444712869293,0.5140985958025064,0.5314686194574461,0.5495065438094959,0.04233965777783345,39,0.524648600525686,0.6218324221548592,0.5196685326978487,0.519415106548657,0.5425336817844961,0.5456196687423094,0.039032892135047584
0.015742063522338867,0.0006802439137074003,0.0006014347076416015,0.00020055787879621014,logistic,0.03162277660168379,"(5,)","{'MLP__activation': 'logistic', 'MLP__alpha': 0.03162277660168379, 'MLP__hidden_layer_sizes': (5,)}",0.5,0.5,0.5,0.49999999999999994,0.49999999999999994,0.5,3.509296886636337e-17,104,0.5,0.5000000000000001,0.5,0.5,0.5,0.5,4.965068306494546e-17
0.04321498870849609,0.0017190737806784132,0.0010027885437011719,1.5078914929239175e-07,logistic,0.03162277660168379,"(22,)","{'MLP__activation': 'logistic', 'MLP__alpha': 0.03162277660168379, 'MLP__hidden_layer_sizes': (22,)}",0.5149197874304533,0.5067114093959733,0.5180620564698776,0.5189931551663394,0.5024472796819165,0.5122266999309453,0.006527227667580769,58,0.5111060604633195,0.5043610228530938,0.5150285231718457,0.5144194386865396,0.5130575179435114,0.5115945126236621,0.003859403582045479
0.022657346725463868,0.0004891842728508145,0.0008022785186767578,0.00024537916920749404,logistic,0.03162277660168379,"(11, 11)","{'MLP__activation': 'logistic', 'MLP__alpha': 0.03162277660168379, 'MLP__hidden_layer_sizes': (11, 11)}",0.5,0.5000000000000001,0.49999999999999994,0.49999999999999983,0.49999999999999994,0.5,9.612475824377517e-17,104,0.49999999999999983,0.5,0.5,0.5,0.5,0.5,7.447602459741819e-17
0.019852542877197267,0.0002454958772611562,0.0009025096893310547,0.00037520917679035985,logistic,0.03162277660168379,"(5, 5)","{'MLP__activation': 'logistic', 'MLP__alpha': 0.03162277660168379, 'MLP__hidden_layer_sizes': (5, 5)}",0.5,0.5000000000000001,0.49999999999999994,0.49999999999999983,0.49999999999999994,0.5,9.612475824377517e-17,104,0.49999999999999983,0.5,0.5,0.5,0.5,0.5,7.447602459741819e-17
0.028978729248046876,0.0003740189390827838,0.0011014938354492188,0.00019824529941425974,logistic,0.03162277660168379,"(22, 22)","{'MLP__activation': 'logistic', 'MLP__alpha': 0.03162277660168379, 'MLP__hidden_layer_sizes': (22, 22)}",0.5,0.5000000000000001,0.49999999999999994,0.49999999999999983,0.49999999999999994,0.5,9.612475824377517e-17,104,0.49999999999999983,0.5,0.5,0.5,0.5,0.5,7.447602459741819e-17
0.03509321212768555,0.0011433339491812035,0.0011028766632080079,0.00020041502631019877,logistic,0.03162277660168379,"(11, 11, 11)","{'MLP__activation': 'logistic', 'MLP__alpha': 0.03162277660168379, 'MLP__hidden_layer_sizes': (11, 11, 11)}",0.5,0.5000000000000001,0.49999999999999994,0.49999999999999983,0.49999999999999994,0.5,9.612475824377517e-17,104,0.49999999999999983,0.5,0.5,0.5,0.5,0.5,7.447602459741819e-17
0.024465036392211915,0.0007367793519713653,0.0009027004241943359,0.00020077338256327808,logistic,0.03162277660168379,"(5, 5, 5)","{'MLP__activation': 'logistic', 'MLP__alpha': 0.03162277660168379, 'MLP__hidden_layer_sizes': (5, 5, 5)}",0.5,0.5000000000000001,0.49999999999999994,0.49999999999999983,0.49999999999999994,0.5,9.612475824377517e-17,104,0.49999999999999983,0.5,0.5,0.5,0.5,0.5,7.447602459741819e-17
0.03739948272705078,0.0009299992925187345,0.0013035297393798827,0.00024535969084518423,logistic,0.03162277660168379,"(22, 22, 22)","{'MLP__activation': 'logistic', 'MLP__alpha': 0.03162277660168379, 'MLP__hidden_layer_sizes': (22, 22, 22)}",0.5,0.5000000000000001,0.49999999999999994,0.49999999999999983,0.49999999999999994,0.5,9.612475824377517e-17,104,0.49999999999999983,0.5,0.5,0.5,0.5,0.5,7.447602459741819e-17
0.06136317253112793,0.0020694873596186184,0.0008022785186767578,0.00024576850478042904,logistic,0.01,"(11,)","{'MLP__activation': 'logistic', 'MLP__alpha': 0.01, 'MLP__hidden_layer_sizes': (11,)}",0.5139904194007135,0.5139852274005475,0.5315755699833911,0.5140985958025064,0.5058256580602948,0.5158934257467058,0.008455488558229527,47,0.5108732857892042,0.51706625380486,0.5196685326978487,0.519415106548657,0.5166571876669597,0.5167360733015058,0.003170616872883691
0.015842151641845704,0.0005110900820873988,0.0009023189544677734,0.00020046239802090236,logistic,0.01,"(5,)","{'MLP__activation': 'logistic', 'MLP__alpha': 0.01, 'MLP__hidden_layer_sizes': (5,)}",0.5,0.5,0.5,0.49999999999999994,0.49999999999999994,0.5,3.509296886636337e-17,104,0.5,0.5000000000000001,0.5,0.5,0.5,0.5,4.965068306494546e-17
0.04542112350463867,0.001944262736867648,0.0009024143218994141,0.00020062931222851804,logistic,0.01,"(22,)","{'MLP__activation': 'logistic', 'MLP__alpha': 0.01, 'MLP__hidden_layer_sizes': (22,)}",0.5149197874304533,0.5067114093959733,0.5180620564698776,0.5189931551663394,0.5024472796819165,0.5122266999309453,0.006527227667580769,58,0.5111060604633195,0.5043610228530938,0.5150285231718457,0.5144194386865396,0.5130575179435114,0.5115945126236621,0.003859403582045479
0.024364709854125977,0.001634846659189176,0.0009025096893310547,0.00020055776542557568,logistic,0.01,"(11, 11)","{'MLP__activation': 'logistic', 'MLP__alpha': 0.01, 'MLP__hidden_layer_sizes': (11, 11)}",0.5,0.5000000000000001,0.49999999999999994,0.49999999999999983,0.49999999999999994,0.5,9.612475824377517e-17,104,0.49999999999999983,0.5,0.5,0.5,0.5,0.5,7.447602459741819e-17
0.020755243301391602,0.0006800821393408642,0.0006014347076416015,0.0002004385207203309,logistic,0.01,"(5, 5)","{'MLP__activation': 'logistic', 'MLP__alpha': 0.01, 'MLP__hidden_layer_sizes': (5, 5)}",0.5,0.5000000000000001,0.49999999999999994,0.49999999999999983,0.49999999999999994,0.5,9.612475824377517e-17,104,0.49999999999999983,0.5,0.5,0.5,0.5,0.5,7.447602459741819e-17
0.029879665374755858,0.0005112864632581172,0.0011029720306396484,0.00020072467962314026,logistic,0.01,"(22, 22)","{'MLP__activation': 'logistic', 'MLP__alpha': 0.01, 'MLP__hidden_layer_sizes': (22, 22)}",0.5,0.5000000000000001,0.49999999999999994,0.49999999999999983,0.49999999999999994,0.5,9.612475824377517e-17,104,0.49999999999999983,0.5,0.5,0.5,0.5,0.5,7.447602459741819e-17
0.03569517135620117,0.0008628031870869901,0.0010025978088378906,4.6231077741778654e-07,logistic,0.01,"(11, 11, 11)","{'MLP__activation': 'logistic', 'MLP__alpha': 0.01, 'MLP__hidden_layer_sizes': (11, 11, 11)}",0.5,0.5000000000000001,0.49999999999999994,0.49999999999999983,0.49999999999999994,0.5,9.612475824377517e-17,104,0.49999999999999983,0.5,0.5,0.5,0.5,0.5,7.447602459741819e-17
